2023-06-29 20:21:54.733 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-06-29 20:21:54.733 [info] Added views:workbench.panel.output in workbench.panel.output
2023-06-29 20:21:54.733 [info] Added views:terminal in terminal
2023-06-29 20:21:54.733 [info] Added views:outline in workbench.view.explorer
2023-06-29 20:21:54.733 [info] Added views:workbench.scm in workbench.view.scm
2023-06-29 20:21:54.733 [info] Added views:workbench.view.search in workbench.view.search
2023-06-29 20:21:54.733 [info] Added views:timeline in workbench.view.explorer
2023-06-29 20:21:54.733 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-06-29 20:21:55.039 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-29 20:21:55.679 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-06-29 20:31:38.606 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-06-29 20:31:42.276 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-29 20:31:42.280 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-29 20:31:42.754 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-29 20:31:42.758 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-29 20:33:49.114 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-29 20:33:49.118 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-29 20:33:49.473 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-29 20:33:49.474 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-29 23:39:42.159 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-29 23:39:42.163 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-29 23:39:42.517 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-29 23:39:42.518 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-29 23:47:07.590 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-29 23:47:07.595 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-29 23:47:20.225 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-29 23:47:20.229 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-29 23:48:01.256 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-29 23:48:01.258 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-29 23:48:05.099 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-29 23:48:05.100 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-06-29 23:48:19.001 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-06-29 23:48:19.003 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-06-29 23:48:24.092 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-06-29 23:48:24.095 [info] Added views:workbench.debug.welcome in workbench.view.debug
